idx,id,title
0,5,הנעלה
1,41,מוצרים חמים
2,13,מכנסיים וחגורות
3,4,חולצות
4,19,הלבשה תחתונה
5,10,ביגוד מקצועי
6,7,ציוד בטיחות
7,14,כובעים
8,6,ביגוד חורף
9,18,אביזרי חורף
10,22,"תיקים, ארנקים ופאוצ'ים"
11,38,מוצרי פרסום
12,29,משק בית
13,26,תחזוקה לבית ולגינה
14,32,כלי אחסון ואביזרים למטבח
15,33,כלי בישול ואפייה
16,34,סכום וכלי הגשה
17,37,כלי ניקיון
18,23,מוצרי סלולר
19,24,"בידוריות, רמקולים ואוזניות"
20,27,גאדג'טים וטכנולוגיה
21,25,אביזרי עישון
22,28,ספורט ואימונים
23,36,חשמל לבית
24,20,אביזרי קיץ
25,9,"ציוד התמגנות ""קורונה"""
26,17,טיולים וקמפינג
27,35,טקסטיל לבית
28,30,משחקים וצעצועים
